Control,Bata,Aconibe,Añisoc,Evinayong,Mengomeyén,Micomeseng,Malabo,Luba,Ebebiyín,Mongomo
0,0,-1,0,0,0,1,-2,41,0,-1
0,0,-2,-1,-1,0,-1,0,-1,0,-1
0,2,0,0,0,0,0,4,4,1,1
0,-5,0,0,-3,-3,0,41,-2,0,0
0,-3,-3,-3,-3,0,0,-2,-2,-3,-4
0,1,1,1,1,0,1,1,1,1,-1
0,0,0,-1,0,0,0,-3,-2,0,0
0,0,1,0,0,0,0,1,21,2,2
0,-4,-4,-4,-2,0,-4,-16,-5,3,2
0,-2,0,0,-2,0,0,-4,-4,4,-14
0,-32,0,-35,-35,0,-35,-32,-30,3,-4
0,0,0,0,-55,0,4,-25,-25,-45,-12
0,-8,-7,10,-7,-16,-16,-21,-39,14,-27
0,21,20,21,-15,21,21,11,-31,23,23
0,-127,-5,-5,3,3,3,-7,-7,-127,-127
0,0,-86,0,0,32,0,-49,-86,32,25
0,0,-52,-52,-19,0,-19,30,28,0,0
0,-15,0,-15,-15,-16,-15,-48,-48,0,-10
0,-4,-4,-4,1,20,-12,-7,-19,4,4
0,0,0,-27,-17,0,0,-24,3,-27,-10
0,-17,-38,0,-38,0,0,-45,-45,-53,-20
0,0,-1,-11,0,6,1,-14,-14,9,9
0,0,5,7,0,0,5,1,8,8,7
0,1,1,1,1,1,-1,-2,3,1,-1
0,1,-1,-4,-1,0,-1,0,2,0,0
0,-4,-4,-1,-4,-4,-4,-1,2,0,-6
0,5,3,3,3,2,3,4,4,4,6
0,-1,0,-1,1,-1,-1,0,0,0,0
0,0,0,0,0,0,0,3,5,0,-2
0,0,1,0,1,1,4,5,5,1,3
0,-7,0,0,-11,-11,-7,-7,0,-11,-11
0,5,0,0,0,0,0,-1,-1,2,4
0,2,2,0,0,0,0,1,9,2,2
0,0,0,0,0,0,0,0,-1,-1,1
0,0,-1,0,0,-1,-1,-2,-4,-1,-1
0,-1,1,-1,-1,0,-1,6,4,2,2
0,-5,-5,-5,-5,-5,-5,12,-3,0,-5
0,2,1,1,1,1,0,5,2,0,4
0,0,0,-10,0,-10,0,-14,-5,-10,-7
0,1,1,1,1,0,1,-20,32,-8,-1
0,-1,-9,-1,-1,1,-9,63,-6,1,29
0,-9,-9,-9,-9,-9,0,-57,-57,-18,-18
0,-7,-1,-41,35,0,0,-50,-61,40,40
0,-48,-45,-45,-41,-45,0,-63,-71,-46,-45
0,2,0,-54,1,-124,0,-69,-73,-56,-56
0,-68,-68,46,46,43,42,-29,-29,0,0
0,7,0,1,1,7,0,-15,-14,-28,21
0,-3,-3,1,-21,21,1,-47,-63,13,13
0,0,0,12,0,0,12,13,12,11,11
0,-1,0,0,-2,-1,11,13,1,11,11
0,-25,0,0,-24,-26,0,-29,-6,-25,-26
0,0,6,-1,0,3,9,18,18,7,7
0,8,0,0,0,2,3,-7,-7,3,-14
0,0,-2,1,1,0,-1,1,-3,0,7
0,-2,-1,-1,0,0,0,-2,-1,-1,-1
0,1,0,1,0,-1,1,1,13,-1,-1
0,4,4,4,1,1,4,2,-1,-1,2
0,0,0,0,-2,0,0,-2,-6,0,-4
0,1,-1,-1,0,-1,1,24,-1,1,0
0,2,0,0,1,0,1,8,-1,-1,0
0,-1,-1,-2,2,0,-1,1,1,0,-1
0,-1,-2,0,0,-2,0,0,-1,-2,-1
0,1,1,2,2,1,0,16,6,16,0
0,0,2,-3,0,0,-2,-1,1,-1,-2
0,-1,-2,-2,-2,-2,-2,2,-3,-1,-1
0,0,1,0,0,2,1,0,0,1,2
0,3,4,2,4,4,4,2,25,5,5
0,0,-2,0,0,0,-29,-31,12,-17,-26
0,-3,-1,-3,0,2,-3,-4,-2,-8,-2
0,1,0,0,1,5,0,-5,-3,3,0
0,-11,32,-18,-13,-11,0,-32,-29,8,37
0,-7,16,-7,-3,-5,0,30,30,39,39
0,6,0,-9,6,-9,6,-36,-36,-43,-41
0,-10,4,0,-88,-11,0,-29,-48,-6,-4
0,-44,-16,-48,-48,-45,-48,-37,-37,-30,0
0,0,0,-6,-5,-7,-53,-66,-66,2,1
0,0,0,0,-32,0,-14,-31,-34,-9,-15
0,-69,-69,-69,-23,0,-6,-69,-66,-66,-29
0,-44,3,-38,-38,-38,3,-47,-40,-70,-70
0,0,-37,0,-36,0,0,-39,-39,-7,11
0,0,20,1,1,1,0,13,-2,33,16
0,0,0,0,-2,0,0,3,3,5,6
0,-2,-2,-2,-2,-3,-3,-1,-1,-5,0
0,3,3,0,0,1,0,2,0,1,1
0,0,0,0,-1,-1,0,1,2,0,1
0,1,0,-1,1,0,0,0,0,0,1
