Actual,xgboost,linear,l1,l2,poly2,poly3,regtree,forest
2253.0,2304.753,2182.6725485796887,2172.864117665824,2156.4326303477774,2451.6145694297156,2315.198362927884,2304.75,2302.7905555555562
3693.0,3744.2227,3616.1175884455824,3674.852708369368,3726.5398282288406,3811.6989164225815,3804.853071589023,3744.2,3743.9297063492063
5083.0,4957.4976,4900.912456130525,4904.857919514734,4887.686853644715,4839.672501516034,4978.138664968312,4957.5,4975.200729437229
1495.0,1614.8009,1451.421042705444,1383.0067498180997,1352.7931441364744,1632.9454780915403,1610.3988055996597,1614.8,1612.5746439393943
1883.0,1848.0004,1836.1577398730824,1802.7748936542212,1801.6242851676307,1876.6412935486296,1790.428640794009,1848.0,1850.0849347041847
3292.0,3313.341,3231.380891277946,3255.0845645332447,3277.7086871976862,3320.107215614087,3298.6980692259967,3313.3333333333335,3315.6712052392063
1908.0,1848.0004,1836.1577398730824,1802.7748936542212,1801.6242851676307,1876.6412935486296,1790.428640794009,1848.0,1850.0849347041847
3062.0,2982.871,2957.9536632352174,2974.183076807454,3004.3254177595427,3019.792371719115,2968.45856789127,2982.8571428571427,2977.817678210677
2059.0,1995.2214,2378.685039008984,2324.4838530007382,2313.766588381699,1939.1577546912013,2002.3517473451793,1995.2222222222222,1993.5103493867248
3946.0,4025.0864,3697.6170606069863,3704.1512223654354,3705.7627746408216,3880.8384652680834,4157.311189819127,4025.0,4052.417195665446
4736.0,3980.4688,4716.215830754096,4735.517294758965,4752.09413490083,4249.542429595327,3759.699462890625,3980.5,3927.124166666667
3790.0,3670.687,3498.0023555309344,3582.518996746414,3653.892190911756,3846.0978480313206,3461.609130859375,3759.3333333333335,3763.496325618826
3653.0,3777.3337,3834.9792213482833,3889.131322284433,3898.031420282725,3705.4164317427203,3797.3306274414062,3777.3333333333335,3775.007286226206
5116.0,4945.7983,4884.70426366277,4888.823457527975,4874.163749586314,4827.621731227162,5001.681823730469,4945.8,4950.337836580084
2354.0,2394.202,2706.9520308749015,2746.7503681271482,2773.7480999319287,2508.2661162166623,2463.8089599609375,2394.2,2393.211436507937
2277.0,2311.607,2200.6750614778357,2190.257962058544,2171.292409857475,2418.24976234122,2355.8085327148438,2311.6,2311.8454484126983
5449.0,5489.3516,5509.778671830376,5462.034622728668,5410.022237807734,5370.393027047627,5800.5770263671875,6119.0,5779.959470591367
3643.0,3759.347,3589.8220538667665,3644.649737102838,3692.2067680043583,3829.402779463824,3727.9895629882812,3759.3333333333335,3759.3329922854928
3343.0,3341.1807,3332.0264390425036,3319.9615333278434,3309.606588153347,3389.1813788795553,3360.727294921875,3310.285714285714,3311.275900044399
3421.0,3097.0027,3145.9082420321647,3176.282045808406,3193.7640282684442,2940.982088939156,3082.5358276367188,3097.0,3096.55761904762
