Actual,xgboost,linear,l1,l2,poly2,poly3,regtree,forest
4155.0,4126.676,3783.5049828421743,3760.0602907057837,3732.5087706983268,3876.0210290107643,4139.93408203125,4126.666666666667,4126.258309523809
2916.0,2675.0193,2598.5729278744493,2596.0199225227334,2588.7152399118413,2766.505692502513,2522.5087890625,2782.0,2782.073257936508
2922.0,2947.429,3050.831284136144,3056.691394836849,3065.1675395695393,2946.557160785451,2762.63232421875,2947.4285714285716,2945.5072794427797
3209.0,4339.8247,4743.644101282614,4783.571039350461,4811.874657228154,4669.5229060696365,4931.51513671875,4320.5,4319.445230158731
2260.0,2285.0017,2104.609209731969,2076.213307230819,2057.1416423834144,2190.1529055389183,2511.7861328125,2285.0,2284.2999285714286
3308.0,3316.0012,3236.283241346746,3250.202167193089,3292.5802731029908,3306.8267973140246,3150.81396484375,3316.0,3316.5132619047613
3639.0,3771.6648,3688.5415976084423,3710.8736395072065,3769.0325727606887,3779.403348776781,3848.88037109375,3771.6666666666665,3766.503809523811
5561.0,5479.001,5270.833436386738,5291.08571817737,5309.80283830474,5422.121977484458,5317.79931640625,5479.0,5467.1604239371745
2285.0,2298.4993,2179.540188574396,2123.0565137436097,2078.6175238023006,2324.1189560627463,2670.53076171875,2298.5,2293.772476190476
1573.0,1578.0017,1425.1935343788846,1362.8959195826646,1298.155311321536,1603.8807688785382,1666.0302734375,1578.0,1585.766503968254
6312.0,7028.5713,7077.91821169232,7011.827416385906,6915.000748105449,6980.400034860977,7060.25341796875,7028.571428571428,7052.9137784715285
3263.0,3015.3362,3256.315647738049,3252.545611878875,3234.5805896217425,3091.806901989228,2892.79052734375,3015.3333333333335,3019.0527738095243
3697.0,3733.0056,3613.6106187660134,3664.0304329944156,3747.5566913418024,3811.9028620095705,4030.51318359375,3733.0,3736.29723015873
3122.0,3139.0012,3285.0118271372303,3393.8608795035016,3438.8906752517714,3345.2938783917343,3139.1083946228027,3139.0,3166.66770282985
2708.0,2714.5312,2660.801142247057,2601.130491350372,2566.1676932709815,2637.1060595724266,2784.1191482543945,2714.5,2708.9771428571426
3685.0,3748.3347,3822.1991722356706,3903.052788469997,3929.594470776012,3679.568707202794,3746.6431617736816,3748.3333333333335,3739.9773923764146
3193.0,3701.4072,3377.7515174837863,3451.360331710299,3464.495041747946,3451.085280152969,2344.1247367858887,3748.3333333333335,3362.860237156635
4505.0,4017.9646,4952.555562261927,4895.30351301365,4842.923132877426,4267.464673563722,3490.7299156188965,4026.0,4019.7238333333325
4104.0,4147.9106,3888.3364377496146,3827.7397143033504,3766.1223904430954,3782.279737392324,3938.5163764953613,4133.75,4136.475154761904
3257.0,3139.0012,3285.0118271372303,3393.8608795035016,3438.8906752517714,3345.2938783917343,3139.1083946228027,3139.0,3166.66770282985
2349.0,2266.4949,2216.353487495173,2149.438034590674,2101.0682642429183,2265.1263028562535,2273.6109504699707,2266.5,2272.8063214285717
7216.0,6996.67,7020.220532732779,6936.531642941665,6855.945463022013,6995.736104930344,6997.360233306885,6996.666666666667,7022.353666416918
3228.0,3139.0012,3285.0118271372303,3393.8608795035016,3438.8906752517714,3345.2938783917343,3139.1083946228027,3139.0,3166.66770282985
3685.0,4026.0193,4859.815871915369,4837.804060806855,4817.318766381251,4336.975141588016,4081.401020050049,4026.0,4019.7238333333325
2878.0,2920.038,3175.8252776426325,3154.368920145951,3128.8167105406555,2796.000148129824,2966.7115745544434,2920.0,2933.73637992563
3421.0,3525.9404,3143.8588658498466,3190.7689354317426,3243.7914987685526,3246.5895678311936,3362.0297317504883,3526.0,3505.741174603175
6316.0,6996.67,7020.220532732779,6936.531642941665,6855.945463022013,6995.736104930344,6997.360233306885,6996.666666666667,7022.353666416918
3360.0,3300.8057,3236.5985561964026,3248.26838763854,3269.395865264728,3323.0267412666,3298.3876991271973,3300.8,3303.798555555556
2630.0,2866.2622,2545.898242197638,2587.677558972662,2612.5085485202426,2737.8184501334326,2877.568073272705,2866.25,2866.8063452380948
5356.0,5463.552,5467.579697657502,5448.54194180923,5405.5721501471,5589.429863345576,5458.966983795166,5463.555555555556,5471.54500456196
4094.0,4184.729,4240.044402154943,4221.932718856255,4205.617452974986,4409.135884954361,4247.884357452393,4184.714285714285,4184.686484765236
4052.0,3989.7231,3702.8570570565025,3712.7408098897577,3714.9136574507465,3906.095874832419,4111.71439743042,3989.6666666666665,4003.6065000000003
3785.0,3711.0178,3588.306520601729,3642.4613921914424,3708.8909277966177,3807.4416815600125,3790.3802909851074,3711.0,3713.2446507936506
