Actual,xgboost,linear,l1,l2,poly2,poly3,regtree,forest
3959.0,3732.4417,3823.0038585806597,3882.229939176863,3896.56437691047,3636.359422005582,3777.5859375,3732.4444444444443,3735.155436089238
4201.0,4192.869,4210.622105377835,4194.24005539787,4181.32239615917,4461.282602886771,4207.934753417969,4192.8,4194.94310894661
4137.0,4192.869,4210.622105377835,4194.24005539787,4181.32239615917,4461.282602886771,4207.934753417969,4192.8,4194.94310894661
2727.0,2705.108,2656.251219173473,2611.856912702806,2589.2759639810665,2680.210213822211,2751.6586303710938,2705.0,2704.201619047619
4131.0,3972.0237,4801.916160733088,4783.821840795725,4768.315697186157,4249.794643929214,4069.3591918945312,3972.0,3951.330534632033
3014.0,2985.6685,2939.1740221688397,2955.262240641354,2990.28697056918,3022.774036580071,2981.1329956054688,2985.6666666666665,2981.6467936507943
1954.0,2016.998,2394.9435719057874,2351.7598261590956,2348.645739012184,1940.8307126715372,1986.405517578125,2017.0,2016.0702622100112
3360.0,3305.2322,3219.892391156347,3238.6803662999173,3252.8022084697914,3317.0174611773546,3338.2139892578125,3305.2,3307.1182611832614
2256.0,2293.9902,2233.4182909990213,2185.9150328564447,2141.643329579325,2344.1571205551736,2228.505126953125,2294.0,2293.989857142856
3801.0,3740.2214,3859.8364740301568,3920.1572242828097,3932.586151223939,3648.390907472698,3795.0994873046875,3740.222222222222,3740.7760831252085
7836.0,6820.8457,6835.82882250834,6758.221483670135,6694.55780385065,6850.210564819397,6827.2047119140625,6820.833333333333,6913.480926406926
6212.0,7262.9062,6739.590688837001,6687.850320292391,6654.7100835807105,7086.73661108446,7227.492919921875,7263.0,7131.584658008658
3286.0,3305.2322,3219.892391156347,3238.6803662999173,3252.8022084697914,3317.0174611773546,3338.2139892578125,3305.2,3307.1182611832614
5361.0,5481.0264,5106.916014393131,5119.452922168677,5146.884547232512,5292.197326623995,5538.599365234375,5481.0,5493.327862776115
1963.0,2016.998,2394.9435719057874,2351.7598261590956,2348.645739012184,1940.8307126715372,1986.405517578125,2017.0,2016.0702622100112
2273.0,2293.9902,2233.4182909990213,2185.9150328564447,2141.643329579325,2344.1571205551736,2228.505126953125,2294.0,2293.989857142856
2934.0,2998.9954,2934.5924559275245,2951.4076751020293,2993.8523749482483,3031.1747247807507,2989.0543212890625,2999.0,3007.0232310924375
6751.0,6820.8457,6835.82882250834,6758.221483670135,6694.55780385065,6850.210564819397,6827.2047119140625,6820.833333333333,6913.480926406926
3008.0,3123.5024,3223.5025864093695,3221.4707546937443,3211.845760266484,3139.0670956020185,3153.2139892578125,3123.5,3124.628103174604
3863.0,3740.2214,3859.8364740301568,3920.1572242828097,3932.586151223939,3648.390907472698,3795.0994873046875,3740.222222222222,3740.7760831252085
8097.0,7262.9062,6739.590688837001,6687.850320292391,6654.7100835807105,7086.73661108446,7227.492919921875,7263.0,7131.584658008658
4973.0,4975.775,4852.888365297989,4850.886287787065,4827.695874447923,4881.652351543438,5084.7783203125,4975.833333333333,4983.2362514430015
5665.0,5481.0264,5106.916014393131,5119.452922168677,5146.884547232512,5292.197326623995,5538.599365234375,5481.0,5493.327862776115
