Actual,xgboost,linear,svm,l1,l2,poly2,poly3,regtree,forest
2253.0,2289.3318,2105.6174758711786,3182.998220322447,2125.1227251941946,2132.0634174763372,2283.175129928073,2260.541748046875,2289.3333333333335,2291.038611111112
2721.0,2786.2917,2554.693797433274,3186.810790357574,2581.3711343375344,2600.7107978025806,2727.8441899333557,2759.093994140625,2786.285714285714,2783.362524531025
2301.0,2306.2769,2196.3473746477193,3183.001059024274,2190.3510344757105,2169.4734095375843,2418.4633454165014,2425.194091796875,2306.25,2314.2438730158733
3736.0,3757.2224,3829.9707151812163,3190.8011781127493,3890.6943814002243,3901.3905823168498,3657.8960661104356,3888.611083984375,3757.222222222222,3767.326353341102
5116.0,4973.746,4859.676835540902,3187.715344796214,4858.280470455662,4834.555739677053,4857.379204415745,4940.375732421875,4973.75,4975.041261904762
5083.0,4973.746,4859.676835540902,3187.715344796214,4858.280470455662,4834.555739677053,4857.379204415745,4940.375732421875,4973.75,4975.041261904762
4131.0,3883.259,4790.492096069991,3188.0661077975005,4771.650220660287,4755.822648969095,4257.28966520098,3989.987060546875,3883.25,3887.3733809523815
2309.0,2306.2769,2196.3473746477193,3183.001059024274,2190.3510344757105,2169.4734095375843,2418.4633454165014,2425.194091796875,2306.25,2314.2438730158733
3775.0,3757.2224,3829.9707151812163,3190.8011781127493,3890.6943814002243,3901.3905823168498,3657.8960661104356,3888.611083984375,3757.222222222222,3767.326353341102
1893.0,1761.6565,2000.6828975770513,3186.6301356754007,1923.9812242627286,1880.908369798295,1795.2138364637503,1422.576904296875,1774.6666666666667,1783.8347142857142
3292.0,3313.3398,3242.5249146772967,3187.707603857441,3261.1854726661313,3275.277020574691,3319.0911165478174,3252.2763671875,3313.3333333333335,3312.651130591631
2252.0,2285.5115,2127.162635176808,3183.3287840765365,2103.720784680334,2090.740318829625,2236.2178515974374,2127.4384765625,2285.5,2286.9431850649357
4104.0,4075.945,3854.052744304716,3187.44617094681,3806.967296061941,3753.0867075083315,3841.891794025869,4342.801513671875,4076.0,4070.321833333333
1489.0,1586.0005,1370.1467784618744,3182.8257696547553,1337.2761965563604,1337.4410053495576,1544.876197061385,1605.262451171875,1586.0,1589.6128095238093
7263.0,7154.497,6787.535599024783,3192.188061824109,6738.363377797779,6705.015657689741,7093.672996740672,6984.568115234375,7154.5,7155.600757936508
1852.0,1863.1661,1819.22310002397,3186.6238192120036,1793.5246056997003,1806.0883856758,1891.132209121337,1912.169677734375,1863.1666666666667,1863.4985753968258
4734.0,4973.746,4859.676835540902,3187.715344796214,4858.280470455662,4834.555739677053,4857.379204415745,4940.375732421875,4973.75,4975.041261904762
