,0
CDSCode,10739991033422.0
Year,16.0
CDSCode,10739991033430.0
Year,16.0
CDSCode,10741531095017.0
Year,16.0
CDSCode,10742601095025.0
Year,16.0
CDSCode,10751271030261.0
Year,16.0
CDSCode,10751271030493.0
Year,16.0
CDSCode,10752341030352.0
Year,16.0
CDSCode,10752341037456.0
Year,16.0
CDSCode,10752751030139.0
Year,16.0
CDSCode,10752751036938.0
Year,16.0
CDSCode,10754081030253.0
Year,16.0
CDSCode,10754081035575.0
Year,16.0
CDSCode,10755981030535.0
Year,16.0
CDSCode,10755981030543.0
Year,16.0
CDSCode,10767780108993.0
Year,16.0
CDSCode,10767780122473.0
Year,16.0
CDSCode,10767781038298.0
Year,16.0
CDSCode,10767781038306.0
Year,16.0
CDSCode,11101160130724.0
Year,16.0
CDSCode,11626461130095.0
Year,16.0
CDSCode,11626461136209.0
Year,16.0
CDSCode,11626531130046.0
Year,16.0
CDSCode,11626531132109.0
Year,16.0
CDSCode,11626611130038.0
Year,16.0
CDSCode,11626611132851.0
Year,16.0
CDSCode,11743851190016.0
Year,16.0
CDSCode,11754811130012.0
Year,16.0
CDSCode,11754811130145.0
Year,16.0
CDSCode,11754811135656.0
Year,16.0
CDSCode,11765621130053.0
Year,16.0
CDSCode,11765621133701.0
Year,16.0
CDSCode,12101240106153.0
Year,16.0
CDSCode,12101240106161.0
Year,16.0
CDSCode,12101240106179.0
Year,16.0
CDSCode,12101240106203.0
Year,16.0
CDSCode,12626870107110.0
Year,16.0
CDSCode,12626871230044.0
Year,16.0
CDSCode,12626871230051.0
Year,16.0
CDSCode,12626871230705.0
Year,16.0
CDSCode,12626871235209.0
Year,16.0
CDSCode,12628100108688.0
Year,16.0
CDSCode,12628101233352.0
Year,16.0
CDSCode,12628101233402.0
Year,16.0
CDSCode,12629011230028.0
Year,16.0
CDSCode,12629011234004.0
Year,16.0
CDSCode,12630400140376.0
Year,16.0
CDSCode,12630401230010.0
Year,16.0
CDSCode,12630401237007.0
Year,16.0
CDSCode,12743931290014.0
Year,16.0
CDSCode,12753741232909.0
Year,16.0
CDSCode,12753821230085.0
Year,16.0
CDSCode,12755151232057.0
Year,16.0
CDSCode,12755151232206.0
Year,16.0
CDSCode,13101320131094.0
Year,16.0
CDSCode,13101320134379.0
Year,16.0
CDSCode,13101321330117.0
Year,16.0
CDSCode,13630811330141.0
Year,16.0
CDSCode,13630811331354.0
Year,16.0
CDSCode,13630811331404.0
Year,16.0
CDSCode,13630990118364.0
Year,16.0
CDSCode,13630991332154.0
Year,16.0
CDSCode,13630991332204.0
Year,16.0
CDSCode,13631071332501.0
Year,16.0
CDSCode,13631150131243.0
Year,16.0
CDSCode,13631150140954.0
Year,16.0
CDSCode,13631151330091.0
Year,16.0
CDSCode,13631151330133.0
Year,16.0
CDSCode,13631151333004.0
Year,16.0
CDSCode,13631151333558.0
Year,16.0
CDSCode,13631491335306.0
Year,16.0
CDSCode,13631491337138.0
Year,16.0
CDSCode,13631641331115.0
Year,16.0
CDSCode,13631641335900.0
Year,16.0
CDSCode,13632141330018.0
Year,16.0
CDSCode,13632141337609.0
Year,16.0
CDSCode,13744011390012.0
Year,16.0
CDSCode,14101400117994.0
Year,16.0
CDSCode,14101400128447.0
Year,16.0
CDSCode,14101400128454.0
Year,16.0
CDSCode,14101401430073.0
Year,16.0
CDSCode,14632481431352.0
Year,16.0
CDSCode,14632711430065.0
Year,16.0
CDSCode,14632711438308.0
Year,16.0
CDSCode,14632890113241.0
Year,16.0
CDSCode,14632891434901.0
Year,16.0
CDSCode,14632971436203.0
Year,16.0
CDSCode,14766870119081.0
Year,16.0
CDSCode,14766871430057.0
Year,16.0
CDSCode,14766871430107.0
Year,16.0
CDSCode,14766871431600.0
Year,16.0
CDSCode,15634120100529.0
Year,16.0
CDSCode,15634120116384.0
Year,16.0
CDSCode,15634121531656.0
Year,16.0
CDSCode,15634121531672.0
Year,16.0
CDSCode,15635290100198.0
Year,16.0
CDSCode,15635290110999.0
Year,16.0
CDSCode,15635290116392.0
Year,16.0
CDSCode,15635290116400.0
Year,16.0
CDSCode,15635290125062.0
Year,16.0
CDSCode,15635290141101.0
Year,16.0
CDSCode,15635291530021.0
Year,16.0
CDSCode,15635291530047.0
Year,16.0
CDSCode,15635291530112.0
Year,16.0
CDSCode,15635291530252.0
Year,16.0
CDSCode,15635291530344.0
Year,16.0
CDSCode,15635291530369.0
Year,16.0
CDSCode,15635291530385.0
Year,16.0
CDSCode,15635291530435.0
Year,16.0
CDSCode,15635291530476.0
Year,16.0
CDSCode,15635291530708.0
Year,16.0
CDSCode,15635291532290.0
Year,16.0
CDSCode,15635291532605.0
Year,16.0
CDSCode,15635291533330.0
Year,16.0
CDSCode,15635291533538.0
Year,16.0
CDSCode,15635291534775.0
Year,16.0
CDSCode,15635291535087.0
Year,16.0
CDSCode,15635291535392.0
Year,16.0
CDSCode,15635291536325.0
Year,16.0
CDSCode,15635291536606.0
Year,16.0
CDSCode,15636280127209.0
Year,16.0
CDSCode,15636281533843.0
Year,16.0
CDSCode,15636770114512.0
Year,16.0
CDSCode,15636851530997.0
Year,16.0
CDSCode,15636851531987.0
Year,16.0
CDSCode,15637761530039.0
Year,16.0
CDSCode,15637761534957.0
Year,16.0
CDSCode,15638181530138.0
Year,16.0
CDSCode,15638181535905.0
Year,16.0
CDSCode,15638261530245.0
Year,16.0
CDSCode,15638261530393.0
Year,16.0
CDSCode,15638261536135.0
Year,16.0
CDSCode,15638591530351.0
Year,16.0
CDSCode,15638591536440.0
Year,16.0
CDSCode,15737421530054.0
Year,16.0
CDSCode,15737421531367.0
Year,16.0
CDSCode,15739081530146.0
Year,16.0
CDSCode,15739081530229.0
Year,16.0
CDSCode,15739081534155.0
Year,16.0
CDSCode,15747651595057.0
Year,16.0
CDSCode,15748071595149.0
Year,16.0
CDSCode,15751681530401.0
Year,16.0
CDSCode,16101651630102.0
Year,16.0
CDSCode,16638910114488.0
Year,16.0
CDSCode,16638910122820.0
Year,16.0
CDSCode,16638911632140.0
Year,16.0
CDSCode,16638911632207.0
Year,16.0
CDSCode,16639250118919.0
Year,16.0
CDSCode,16639250137901.0
Year,16.0
CDSCode,16639251630151.0
Year,16.0
CDSCode,16639251630169.0
Year,16.0
CDSCode,16639251634245.0
Year,16.0
CDSCode,16639251634401.0
Year,16.0
CDSCode,16639580136556.0
Year,16.0
CDSCode,16639820110205.0
Year,16.0
CDSCode,16639820136234.0
Year,16.0
CDSCode,16639821630011.0
Year,16.0
CDSCode,16639821635606.0
Year,16.0
CDSCode,16739321630078.0
Year,16.0
CDSCode,16739321630110.0
Year,16.0
CDSCode,16739321630185.0
Year,16.0
CDSCode,16739321630953.0
Year,16.0
CDSCode,16747081690015.0
Year,16.0
CDSCode,17101731730068.0
Year,16.0
CDSCode,17640141730043.0
Year,16.0
CDSCode,17640141730159.0
Year,16.0
CDSCode,17640141734359.0
Year,16.0
CDSCode,17640220107706.0
Year,16.0
CDSCode,17640221730027.0
Year,16.0
CDSCode,17640221735000.0
Year,16.0
CDSCode,17640300114215.0
Year,16.0
CDSCode,17640301730019.0
Year,16.0
CDSCode,17640301732304.0
Year,16.0
