School Code ,School Name ,Grade,# of English Language Arts (ELA) Test Takers,ELA -  # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient,MSAA - # of English Language Arts (ELA) Test Takers,MSAA - ELA -  # Level 1,MSAA - ELA - # Level 2,MSAA - ELA - # Level 3,MSAA - ELA - # Level 4,MSAA - ELA # Proficient,MSAA - ELA - % Level 1,MSAA - ELA - % Level 2,MSAA - ELA - % Level 3,MSAA - ELA - % Level 4,MSAA - ELA - % Proficient,MSAA - # of Math Test Takers,MSAA - Math -  # Level 1,MSAA - Math - # Level 2,MSAA - Math - # Level 3,MSAA - Math - # Level 4,MSAA - Math # Proficient,MSAA - Math - % Level 1,MSAA - Math - % Level 2,MSAA - Math - % Level 3,MSAA - Math - % Level 4,MSAA - Math - % Proficient
227,H.D. Cooke Elementary School,3,47,11,7,14,15,0,15,0.234,0.149,0.298,0.319,0,0.319,47,2,2,24,14,5,19,4.26E-02,4.26E-02,0.511,0.298,0.106,0.404,.,,,,,,,,,,,.,,,,,,,,,,
227,H.D. Cooke Elementary School,4,42,3,8,9,16,6,22,7.14E-02,0.19,0.214,0.381,0.143,0.524,43,2,8,15,15,3,18,4.65E-02,0.186,0.349,0.349,6.98E-02,0.419,.,,,,,,,,,,,.,,,,,,,,,,
227,H.D. Cooke Elementary School,5,39,4,14,9,12,0,12,0.103,0.359,0.231,0.308,0,0.308,40,2,10,10,18,0,18,0.05,0.25,0.25,0.45,0,0.45,.,,,,,,,,,,,.,,,,,,,,,,
227,H.D. Cooke Elementary School,ALL,128,18,29,32,43,6,49,0.141,0.227,0.25,0.336,4.69E-02,0.383,130,6,20,49,47,8,55,4.62E-02,0.154,0.377,0.362,6.15E-02,0.423,.,,,,,,,,,,,.,,,,,,,,,,
231,Drew Elementary School,3,32,11,9,5,7,0,7,0.344,0.281,0.156,0.219,0,0.219,31,9,11,6,5,0,5,0.29,0.355,0.194,0.161,0,0.161,.,,,,,,,,,,,.,,,,,,,,,,
231,Drew Elementary School,4,34,12,4,11,6,1,7,0.353,0.118,0.324,0.176,2.94E-02,0.206,33,14,11,5,3,0,3,0.424,0.333,0.152,9.09E-02,0,9.09E-02,.,,,,,,,,,,,.,,,,,,,,,,
231,Drew Elementary School,5,31,12,5,11,3,0,3,0.387,0.161,0.355,9.68E-02,0,9.68E-02,31,13,10,3,5,0,5,0.419,0.323,9.68E-02,0.161,0,0.161,.,,,,,,,,,,,.,,,,,,,,,,
231,Drew Elementary School,ALL,97,35,18,27,16,1,17,0.361,0.186,0.278,0.165,1.03E-02,0.175,95,36,32,14,13,0,13,0.379,0.337,0.147,0.137,0,0.137,.,,,,,,,,,,,.,,,,,,,,,,
232,Eaton Elementary School,3,64,2,5,12,42,3,45,3.13E-02,7.81E-02,0.188,0.656,4.69E-02,0.703,64,1,4,9,38,12,50,1.56E-02,6.25E-02,0.141,0.594,0.188,0.781,.,,,,,,,,,,,.,,,,,,,,,,
232,Eaton Elementary School,4,76,1,6,16,28,25,53,1.32E-02,7.89E-02,0.211,0.368,0.329,0.697,76,6,5,10,46,9,55,7.89E-02,6.58E-02,0.132,0.605,0.118,0.724,.,,,,,,,,,,,.,,,,,,,,,,
232,Eaton Elementary School,5,59,1,3,7,38,10,48,1.69E-02,5.08E-02,0.119,0.644,0.169,0.814,59,0,7,14,28,10,38,0,0.119,0.237,0.475,0.169,0.644,.,,,,,,,,,,,.,,,,,,,,,,
232,Eaton Elementary School,ALL,199,4,14,35,108,38,146,2.01E-02,7.04E-02,0.176,0.543,0.191,0.734,199,7,16,33,112,31,143,3.52E-02,8.04E-02,0.166,0.563,0.156,0.719,.,,,,,,,,,,,.,,,,,,,,,,
238,Garfield Elementary School,3,52,25,12,7,8,0,8,0.481,0.231,0.135,0.154,0,0.154,52,21,12,11,8,0,8,0.404,0.231,0.212,0.154,0,0.154,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
238,Garfield Elementary School,4,35,11,6,10,7,1,8,0.314,0.171,0.286,0.2,2.86E-02,0.229,35,12,13,8,2,0,2,0.343,0.371,0.229,5.71E-02,0,5.71E-02,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
238,Garfield Elementary School,5,37,13,14,7,3,0,3,0.351,0.378,0.189,8.11E-02,0,8.11E-02,37,11,16,6,4,0,4,0.297,0.432,0.162,0.108,0,0.108,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
238,Garfield Elementary School,ALL,124,49,32,24,18,1,19,0.395,0.258,0.194,0.145,8.06E-03,0.153,124,44,41,25,14,0,14,0.355,0.331,0.202,0.113,0,0.113,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
239,Garrison Elementary School,3,18,2,4,8,3,1,4,0.111,0.222,0.444,0.167,5.56E-02,0.222,18,0,3,9,6,0,6,0,0.167,0.5,0.333,0,0.333,.,,,,,,,,,,,.,,,,,,,,,,
239,Garrison Elementary School,4,28,1,4,10,9,4,13,3.57E-02,0.143,0.357,0.321,0.143,0.464,28,1,7,8,11,1,12,3.57E-02,0.25,0.286,0.393,3.57E-02,0.429,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
239,Garrison Elementary School,5,24,1,6,2,15,0,15,4.17E-02,0.25,8.33E-02,0.625,0,0.625,24,1,9,7,7,0,7,4.17E-02,0.375,0.292,0.292,0,0.292,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
239,Garrison Elementary School,ALL,70,4,14,20,27,5,32,5.71E-02,0.2,0.286,0.386,7.14E-02,0.457,70,2,19,24,24,1,25,2.86E-02,0.271,0.343,0.343,1.43E-02,0.357,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
