,,,DATA AS OF: August 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,




School Code ,School Name ,Grade,# of English Language Arts (ELA) Test Takers,ELA -  # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient,MSAA - # of English Language Arts (ELA) Test Takers,MSAA - ELA -  # Level 1,MSAA - ELA - # Level 2,MSAA - ELA - # Level 3,MSAA - ELA - # Level 4,MSAA - ELA # Proficient,MSAA - ELA - % Level 1,MSAA - ELA - % Level 2,MSAA - ELA - % Level 3,MSAA - ELA - % Level 4,MSAA - ELA - % Proficient,MSAA - # of Math Test Takers,MSAA - Math -  # Level 1,MSAA - Math - # Level 2,MSAA - Math - # Level 3,MSAA - Math - # Level 4,MSAA - Math # Proficient,MSAA - Math - % Level 1,MSAA - Math - % Level 2,MSAA - Math - % Level 3,MSAA - Math - % Level 4,MSAA - Math - % Proficient
206,Beers Elementary School,04,45,8,10,8,16,3,19,0.178,0.222,0.178,0.356,6.6666666666666666E-2,0.422,45,9,11,12,13,0,13,0.200,0.244,0.267,0.289,0.000,0.289,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
206,Beers Elementary School,05,66,18,17,15,16,0,16,0.273,0.258,0.227,0.242,0.000,0.242,66,20,20,15,11,0,11,0.303,0.303,0.227,0.167,0.000,0.167,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
206,Beers Elementary School,ALL,180,55,42,39,41,3,44,0.306,0.233,0.217,0.228,1.6666666666666666E-2,0.244,179,61,46,44,28,0,28,0.341,0.257,0.246,0.156,0.000,0.156,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
212,Brent Elementary School,03,60,5,7,14,30,4,34,8.3333333333333329E-2,0.117,0.233,0.500,6.6666666666666666E-2,0.567,60,1,6,10,26,17,43,1.6666666666666666E-2,0.100,0.167,0.433,0.283,0.717,.,,,,,,,,,,,.,,,,,,,,,,
212,Brent Elementary School,04,57,0,2,5,24,26,50,0.000,3.5087719298245612E-2,8.771929824561403E-2,0.421,0.456,0.877,57,1,3,9,29,15,44,1.7543859649122806E-2,5.2631578947368418E-2,0.158,0.509,0.263,0.772,.,,,,,,,,,,,.,,,,,,,,,,
212,Brent Elementary School,05,23,0,2,2,16,3,19,0.000,8.6956521739130432E-2,8.6956521739130432E-2,0.696,0.130,0.826,23,0,3,8,12,0,12,0.000,0.130,0.348,0.522,0.000,0.522,.,,,,,,,,,,,.,,,,,,,,,,
212,Brent Elementary School,ALL,140,5,11,21,70,33,103,3.5714285714285712E-2,7.857142857142857E-2,0.150,0.500,0.236,0.736,140,2,12,27,67,32,99,1.4285714285714285E-2,8.5714285714285715E-2,0.193,0.479,0.229,0.707,.,,,,,,,,,,,.,,,,,,,,,,
213,Brightwood Education Campus,03,65,11,13,16,25,0,25,0.169,0.200,0.246,0.385,0.000,0.385,65,2,4,22,32,5,37,3.0769230769230771E-2,6.1538461538461542E-2,0.338,0.492,7.6923076923076927E-2,0.569,.,,,,,,,,,,,.,,,,,,,,,,
213,Brightwood Education Campus,04,66,6,13,18,25,4,29,9.0909090909090912E-2,0.197,0.273,0.379,6.0606060606060608E-2,0.439,66,3,6,18,34,5,39,4.5454545454545456E-2,9.0909090909090912E-2,0.273,0.515,7.575757575757576E-2,0.591,.,,,,,,,,,,,.,,,,,,,,,,
213,Brightwood Education Campus,05,82,14,20,27,17,4,21,0.171,0.244,0.329,0.207,4.878048780487805E-2,0.256,82,3,20,27,28,4,32,3.6585365853658534E-2,0.244,0.329,0.341,4.878048780487805E-2,0.390,.,,,,,,,,,,,.,,,,,,,,,,
213,Brightwood Education Campus,06,74,14,18,20,22,0,22,0.189,0.243,0.270,0.297,0.000,0.297,74,25,21,13,14,1,15,0.338,0.284,0.176,0.189,1.3513513513513514E-2,0.203,.,,,,,,,,,,,.,,,,,,,,,,
213,Brightwood Education Campus,07,52,10,9,17,10,6,16,0.192,0.173,0.327,0.192,0.115,0.308,52,3,15,20,12,2,14,5.7692307692307696E-2,0.288,0.385,0.231,3.8461538461538464E-2,0.269,.,,,,,,,,,,,.,,,,,,,,,,
213,Brightwood Education Campus,08,52,17,7,17,10,1,11,0.327,0.135,0.327,0.192,1.9230769230769232E-2,0.212,52,27,9,9,6,1,7,0.519,0.173,0.173,0.115,1.9230769230769232E-2,0.135,.,,,,,,,,,,,.,,,,,,,,,,
213,Brightwood Education Campus,ALL,391,72,80,115,109,15,124,0.184,0.205,0.294,0.279,3.8363171355498722E-2,0.317,391,63,75,109,126,18,144,0.161,0.192,0.279,0.322,4.6035805626598467E-2,0.368,.,,,,,,,,,,,.,,,,,,,,,,
219,Bunker Hill Elementary School,03,19,4,9,2,4,0,4,0.211,0.474,0.105,0.211,0.000,0.211,19,6,4,3,6,0,6,0.316,0.211,0.158,0.316,0.000,0.316,.,,,,,,,,,,,.,,,,,,,,,,
219,Bunker Hill Elementary School,04,30,6,10,8,4,2,6,0.200,0.333,0.267,0.133,6.6666666666666666E-2,0.200,30,7,11,8,4,0,4,0.233,0.367,0.267,0.133,0.000,0.133,.,,,,,,,,,,,.,,,,,,,,,,
