Charter,Virtual,Magnet,Latitude,Longitude,FRPM%,Met and Above%,Male%,American Indian%,Asian%,Pacific Islander%,Filipino%,Hispanic%,African American%
0,0,0,1.853764501541086,-2.5058845075704426,0.75,0.23,0.5177664974619285,0.0025380710659898,0.0539340101522841,0.0291878172588831,0.0520304568527918,0.6173857868020304,0.1510152284263958
0,0,0,1.8064005015410842,-2.526524507570443,0.692,0.27,0.49128051818634744,0.003986048829098,0.12456402590931731,0.0368709516691579,0.14150473343298442,0.5430991529646239,0.0807174887892376
0,0,0,1.8236335015410887,-2.5019245075704504,0.828,0.33,0.5380200860832136,0.0021520803443328,0.0703012912482065,0.043041606886656994,0.082496413199426,0.7087517934002869,0.0652797704447632
0,0,0,1.8599895015410866,-2.202704507570445,0.51,0.1,0.6528925619834709,0.0,0.024793388429752,0.0,0.024793388429752,0.5454545454545454,0.024793388429752
0,0,0,1.8562935015410886,-2.2258045075704445,0.147,0.58,0.4815157116451015,0.0036968576709796,0.0739371534195933,0.0027726432532347,0.030499075785582197,0.2518484288354898,0.0092421441774491
0,0,0,1.8616135015410862,-2.1976945075704464,0.2,0.65,0.4685082872928174,0.0038674033149171004,0.06353591160220991,0.0027624309392265,0.0386740331491712,0.28232044198895023,0.020441988950276102
0,1,0,1.703182501541086,-2.4377145075704476,0.418,0.63,0.5102759835584261,0.0017615971814444998,0.1274221961244861,0.016441573693482,0.1033470346447445,0.5202583675866118,0.0481503229594832
0,1,0,1.731645501541088,-2.4737545075704475,0.65,0.04,0.5972222222222221,0.0,0.0277777777777777,0.0,0.0833333333333332,0.7361111111111112,0.0138888888888888
0,0,0,1.7962975015410834,-2.4647145075704486,0.589,0.02,0.6241610738255031,0.0,0.08053691275167779,0.046979865771812,0.0536912751677852,0.6040268456375838,0.134228187919463
0,0,0,1.7735815015410878,-2.462004507570441,0.41,0.68,0.49786666666666646,0.0026666666666666,0.2189333333333333,0.0301333333333333,0.2261333333333333,0.3485333333333332,0.0666666666666666
1,0,0,1.954793501541083,-2.6214445075704447,0.765,0.65,0.4550724637681157,0.0028985507246376,0.0057971014492753,0.0028985507246376,0.0028985507246376,0.8550724637681157,0.0666666666666665
0,0,0,1.9761945015410873,-2.694194507570444,0.787,0.12,0.42690058479532134,0.0058479532163742,0.0584795321637426,0.0,0.0116959064327484,0.5789473684210525,0.2456140350877192
1,0,0,1.9181375015410893,-2.6325945075704453,0.811,0.81,0.5384615384615381,0.0,0.0153846153846152,0.0,0.0115384615384614,0.8307692307692307,0.0769230769230768
0,0,0,1.998951501541086,-2.714594507570453,0.859,0.28,0.49731182795698897,0.0026881720430107,0.05376344086021499,0.0053763440860215,0.0026881720430107,0.0591397849462364,0.793010752688172
1,0,0,1.9925905015410876,-2.6850145075704432,0.85,0.79,0.4769230769230766,0.0,0.5807692307692307,0.0,0.0115384615384614,0.1769230769230768,0.18461538461538451
1,0,0,1.9669435015410883,-2.6555745075704493,0.83,0.72,0.5550561797752808,0.0,0.48089887640449425,0.0022471910112359,0.0157303370786516,0.43146067415730327,0.049438202247191
