Name,Budget,Year
west,4115372.0,2017
wheatley,9421615.875,2014
wheatley,5451057.8115234375,2015
wheatley,10767216.69921875,2016
wheatley,5137250.0,2017
whittier,6597973.4375,2014
whittier,5377681.46484375,2015
whittier,10893376.7734375,2016
whittier,5364029.0,2017
wilson,27928040.125,2014
wilson,15918708.30078125,2015
wilson,31218186.25,2016
woodrow wilson,16045386.0,2017
woodson,17498305.25,2014
"woodson, h d ",8411553.3203125,2015
"woodson, h d ",16381258.205078125,2016
"woodson, h d ",9597703.0,2017
youth services center,1528835.0,2014
youth services center,1921238.2998046875,2015
youth services center,3331627.7578125,2016
youth services center,2545628.0,2017
