CDSCode,County,District,School,City,Charter,Virtual,Magnet,Latitude,Longitude,Public Yes/No,Percent,M1,M2,M3,M4,M5,M6,M7,F1,F2,F3,F4,F5,F6,F7
1611920133629.0,Alameda,Hayward Unified,Hayward High,Hayward,N,N,N,37.672677,-122.06992,Y,0.75,0.0012690355329949,0.0304568527918781,0.015228426395939,0.0304568527918781,0.3140862944162436,0.0856598984771573,0.0406091370558375,0.0012690355329949,0.023477157360406,0.0139593908629441,0.0215736040609137,0.3032994923857868,0.0653553299492385,0.0342639593908629
1611920135319.0,Alameda,Hayward Unified,Mt. Eden High,Hayward,N,N,N,37.625313,-122.09056,Y,0.692,0.001993024414549,0.0607872446437468,0.0194319880418535,0.0757349277528649,0.2620827105132038,0.0448430493273542,0.0264075734927752,0.001993024414549,0.0637767812655705,0.0174389636273044,0.0657698056801195,0.28101644245142,0.0358744394618834,0.0274040857000498
1611920138339.0,Alameda,Hayward Unified,Tennyson High,Hayward,N,N,N,37.642546,-122.06596,Y,0.828,0.0014347202295552,0.033715925394548,0.0200860832137733,0.0516499282639885,0.3787661406025825,0.0351506456241033,0.0172166427546628,0.0007173601147776,0.0365853658536585,0.0229555236728837,0.0308464849354375,0.3299856527977044,0.0301291248206599,0.0078909612625538
1612000132670.0,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,Livermore,N,N,N,37.678902,-121.76674,Y,0.51,0.0,0.024793388429752,0.0,0.024793388429752,0.371900826446281,0.024793388429752,0.2066115702479339,0.0,0.0,0.0,0.0,0.1735537190082644,0.0,0.1074380165289256
1612000133397.0,Alameda,Livermore Valley Joint Unified,Granada High,Livermore,N,N,N,37.675206,-121.78984,Y,0.147,0.0018484288354898,0.0374306839186691,0.0009242144177449,0.0143253234750462,0.133086876155268,0.0055452865064695,0.288354898336414,0.0018484288354898,0.0365064695009242,0.0018484288354898,0.016173752310536,0.1187615526802218,0.0036968576709796,0.2666358595194085
1612000134536.0,Alameda,Livermore Valley Joint Unified,Livermore High,Livermore,N,N,N,37.680526,-121.76173,Y,0.2,0.0027624309392265,0.0337016574585635,0.0022099447513812,0.0204419889502762,0.1370165745856353,0.0088397790055248,0.2635359116022099,0.0011049723756906,0.0298342541436464,0.0005524861878453,0.018232044198895,0.1453038674033149,0.0116022099447513,0.2646408839779005
1612340130054.0,Alameda,Newark Unified,Newark Memorial High,Newark,N,Y,N,37.522095,-122.00175,Y,0.418,0.001174398120963,0.0645918966529653,0.008220786846741,0.0569583088667058,0.2601291837933059,0.0281855549031121,0.091015854374633,0.0005871990604815,0.0628302994715208,0.008220786846741,0.0463887257780387,0.2601291837933059,0.0199647680563711,0.0610687022900763
1612340135426.0,Alameda,Newark Unified,Bridgepoint High (Continuation),Newark,N,Y,N,37.550558,-122.03779,Y,0.65,0.0,0.0277777777777777,0.0,0.0694444444444444,0.4305555555555556,0.0,0.0694444444444444,0.0,0.0,0.0,0.0138888888888888,0.3055555555555556,0.0138888888888888,0.0416666666666666
1612420110460.0,Alameda,New Haven Unified,Core Learning Academy at Conley-Caraballo High,Hayward,N,N,N,37.615210,-122.02875,Y,0.589,0.0,0.0536912751677852,0.0402684563758389,0.0402684563758389,0.3557046979865771,0.087248322147651,0.046979865771812,0.0,0.0268456375838926,0.0067114093959731,0.0134228187919463,0.2483221476510067,0.046979865771812,0.0
1612420110478.0,Alameda,New Haven Unified,Alternative Learning Academy at Conley-Caraballo High,Hayward,N,N,N,37.615210,-122.02875,Y,0.818,0.0,0.0,0.0,0.0,0.4166666666666667,0.1666666666666666,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0,0.0833333333333333,0.1666666666666666
1612420134668.0,Alameda,New Haven Unified,James Logan High,Union City,N,N,N,37.592494,-122.02604,Y,0.41,0.0024,0.112,0.016,0.1189333333333333,0.1826666666666666,0.0354666666666666,0.0304,0.0002666666666666,0.1069333333333333,0.0141333333333333,0.1072,0.1658666666666666,0.0312,0.028
1612590100065.0,Alameda,Oakland Unified,Oakland Unity High,Oakland,Y,N,N,37.773706,-122.18548,Y,0.765,0.0,0.0,0.0,0.0028985507246376,0.4202898550724637,0.0318840579710144,0.0,0.0028985507246376,0.0057971014492753,0.0028985507246376,0.0,0.4347826086956521,0.0347826086956521,0.0
1612590100701.0,Alameda,Oakland Unified,MetWest High,Oakland,N,N,N,37.795107,-122.25823,Y,0.787,0.0,0.0292397660818713,0.0,0.0058479532163742,0.239766081871345,0.1228070175438596,0.0292397660818713,0.0058479532163742,0.0292397660818713,0.0,0.0058479532163742,0.3391812865497076,0.1228070175438596,0.0292397660818713
1612590108944.0,Alameda,Oakland Unified,Lighthouse Community Charter High,Oakland,Y,N,N,37.737050,-122.19663,Y,0.811,0.0,0.0076923076923076,0.0,0.0076923076923076,0.4615384615384615,0.0461538461538461,0.0153846153846153,0.0,0.0076923076923076,0.0,0.0038461538461538,0.3692307692307692,0.0307692307692307,0.0192307692307692
1612590110189.0,Alameda,Oakland Unified,McClymonds High,Oakland,N,N,N,37.817864,-122.27863,Y,0.859,0.0026881720430107,0.032258064516129,0.0053763440860215,0.0026881720430107,0.0295698924731182,0.4032258064516129,0.021505376344086,0.0,0.021505376344086,0.0,0.0,0.0295698924731182,0.3897849462365591,0.021505376344086
