CDSCode,County,District,School,City,Charter,SOCType,Virtual,Magnet,Latitude,Longitude
3100330330035,Amador,Amador County Office of Education,County Community,Sutter Creek,N,County Community,N,N,38.377473,-120.80822
3100330330068,Amador,Amador County Office of Education,Amador County Special Education,Jackson,N,Special Education Schools (Public),N,N,38.352665,-120.77703
3739810330019,Amador,Amador County Unified,Independence High (Continuation),Sutter Creek,N,Continuation High Schools,N,N,38.377737,-120.80852
3739810330050,Amador,Amador County Unified,North Star Academy,Sutter Creek,N,Alternative Schools of Choice,N,N,38.377737,-120.80852
3739810330753,Amador,Amador County Unified,Amador High,Sutter Creek,N,High Schools (Public),N,N,38.398775,-120.80970
3739810334755,Amador,Amador County Unified,Argonaut High,Jackson,N,High Schools (Public),N,N,38.353826,-120.79177
3748560330043,Amador,Amador County ROP,Amador County ROP,Jackson,N,ROC/ROP,No Data,No Data,38.352665,-120.77703
4100410134213,Butte,Butte County Office of Education,Come Back Butte Charter,Oroville,Y,High Schools (Public),V,N,39.505463,-121.55343
4100410136820,Butte,Butte County Office of Education,Achieve Charter High,Chico,N,High Schools (Public),C,N,39.761657,-121.81632
4100410430066,Butte,Butte County Office of Education,Table Mountain,Oroville,N,Juvenile Court Schools,N,N,39.528980,-121.56986
4614080430827,Butte,Biggs Unified,Biggs High,Biggs,N,High Schools (Public),N,N,39.416091,-121.70642
4614240120394,Butte,Chico Unified,Inspire School of Arts and Sciences,Chico,Y,High Schools (Public),C,N,39.735165,-121.84863
4614240430215,Butte,Chico Unified,Loma Vista,Chico,N,Special Education Schools (Public),N,N,39.759482,-121.81322
4614240431502,Butte,Chico Unified,Fair View High (Continuation),Chico,N,Continuation High Schools,N,N,39.758826,-121.85785
4614240431676,Butte,Chico Unified,Chico High,Chico,N,High Schools (Public),C,N,39.735929,-121.84452
4614240437558,Butte,Chico Unified,Pleasant Valley High,Chico,N,High Schools (Public),C,N,39.761160,-121.81713
4614320433201,Butte,Durham Unified,Durham High,Durham,N,High Schools (Public),N,N,39.646267,-121.80314
4615150430140,Butte,Oroville Union High,Oroville High Community Day,Oroville,N,District Community Day Schools,N,N,39.522412,-121.56952
4615150434803,Butte,Oroville Union High,Las Plumas High,Oroville,N,High Schools (Public),N,N,39.480408,-121.54100
4615150435602,Butte,Oroville Union High,Oroville High,Oroville,N,High Schools (Public),N,N,39.514321,-121.54591
4615150437566,Butte,Oroville Union High,Prospect High (Continuation),Oroville,N,Continuation High Schools,C,N,39.521372,-121.56960
4615310430025,Butte,Paradise Unified,Paradise Adult,Paradise,N,Adult Education Centers,N,No Data,39.752247,-121.60983
4615310430108,Butte,Paradise Unified,Honey Run Academy Secondary,Paradise,N,District Community Day Schools,N,N,39.752247,-121.60983
4615310432856,Butte,Paradise Unified,Ridgeview High (Continuation),Magalia,N,Continuation High Schools,C,N,39.812391,-121.60053
4615310437350,Butte,Paradise Unified,Paradise Senior High,Paradise,N,High Schools (Public),C,N,39.760995,-121.61330
4755070433946,Butte,Gridley Unified,Esperanza High (Continuation),Gridley,N,Continuation High Schools,N,N,39.365221,-121.69345
4755070433953,Butte,Gridley Unified,Gridley High,Gridley,N,High Schools (Public),N,N,39.367009,-121.68430
5100580530048,Calaveras,Calaveras County Office of Education,Calaveras River Academy,San Andreas,N,County Community,C,N,38.188474,-120.69093
5100586077150,Calaveras,Calaveras County Office of Education,Calaveras County Special Education (SELPA),Angels Camp,N,Special Education Schools (Public),N,N,38.078894,-120.55324
5100589010745,Calaveras,Calaveras County Office of Education,Oakendell Community,San Andreas,N,County Community,C,N,38.231633,-120.65513
5615560530014,Calaveras,Bret Harte Union High,Vallecito Continuation High,Altaville,N,Continuation High Schools,N,N,38.079472,-120.55200
5615560532507,Calaveras,Bret Harte Union High,Bret Harte Union High,Angels Camp,N,High Schools (Public),N,N,38.081079,-120.55182
5615640530022,Calaveras,Calaveras Unified,Gold Strike High,San Andreas,N,Continuation High Schools,C,N,38.200130,-120.68456
5615640531509,Calaveras,Calaveras Unified,Calaveras High,San Andreas,N,High Schools (Public),N,N,38.200477,-120.68382
6100660630111,Colusa,Colusa County Office of Education,S. William Abel Academy,Williams,N,County Community,C,N,39.160044,-122.13647
6615980630012,Colusa,Colusa Unified,Colusa Alternative High (Continuation),Colusa,N,Continuation High Schools,N,N,39.199237,-122.02091
6615980631259,Colusa,Colusa Unified,Colusa High,Colusa,N,High Schools (Public),N,N,39.200800,-122.02070
6616060634758,Colusa,Maxwell Unified,Maxwell Sr High,Maxwell,N,High Schools (Public),N,N,39.276200,-122.20354
6616140630087,Colusa,Pierce Joint Unified,Arbuckle Alternative High (Continuation),Arbuckle,N,Continuation High Schools,N,N,39.009970,-122.05599
6616140635250,Colusa,Pierce Joint Unified,Pierce High,Arbuckle,N,High Schools (Public),C,N,39.009385,-122.05599
6616220630038,Colusa,Williams Unified,Mid Valley High (Continuation),Williams,N,Continuation High Schools,C,N,39.153740,-122.15548
6616220637504,Colusa,Williams Unified,Williams Junior/Senior High,Williams,N,High Schools (Public),C,N,39.156417,-122.15841
7100740120444,Contra Costa,Contra Costa County Office of Education,Mt. McKinley,Martinez,N,Juvenile Court Schools,N,N,37.988924,-122.08743
7100740129684,Contra Costa,Contra Costa County Office of Education,Summit Public School K2,El Cerrito,Y,High Schools (Public),N,N,37.925768,-122.31341
7100740730614,Contra Costa,Contra Costa County Office of Education,Golden Gate Community,Pittsburg,Y,County Community,N,N,38.003885,-121.87747
7100740731380,Contra Costa,Contra Costa County Office of Education,Clayton Valley Charter High,Concord,Y,High Schools (Public),N,N,37.950133,-121.96702
7616300107524,Contra Costa,Acalanes Union High,Acalanes Center for Independent Study,Walnut Creek,N,Alternative Schools of Choice,N,N,37.877664,-122.07422
7616300730283,Contra Costa,Acalanes Union High,Acalanes High,Lafayette,N,High Schools (Public),N,N,37.904313,-122.09906
